player,passes,successful_passes,pass_accuracy,shots,goals,dribbles,pressures,interceptions,ball_recoveries,duels,blocks,fouls_won,fouls_committed,cluster,role
Sergio Gontán Gallardo,31.724137931034484,20.58620689655172,63.64241379310345,1.2413793103448276,0.1034482758620689,2.8275862068965516,24.103448275862068,0.896551724137931,6.275862068965517,5.206896551724138,1.896551724137931,2.3793103448275863,1.7241379310344829,1,Midfielder
Sergio Mendigutxia Iglesias,8.0,5.0,62.5,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,0,Defender
Sergio Ramos García,56.47826086956522,50.43478260869565,88.32130434782609,0.8260869565217391,0.0869565217391304,0.1739130434782608,8.652173913043478,2.4782608695652173,4.173913043478261,2.5652173913043477,2.0434782608695654,1.3043478260869563,1.826086956521739,1,Midfielder
Sergio Rico González,30.0,19.941176470588236,67.2620588235294,0.0,0.0,0.0,0.1176470588235294,0.0588235294117647,4.705882352941177,0.0,0.088235294117647,0.2352941176470588,0.0,3,Goalkeeper
Sergio Álvarez Conde,32.29032258064516,18.838709677419356,58.82096774193548,0.0,0.0,0.0,0.0967741935483871,0.0,4.419354838709677,0.0,0.0,0.032258064516129,0.0,3,Goalkeeper
Sergio Álvarez Díaz,40.74074074074074,30.814814814814813,73.25,0.1851851851851851,0.074074074074074,1.2222222222222223,23.59259259259259,1.5555555555555556,5.148148148148148,6.888888888888889,2.259259259259259,1.4444444444444444,2.4814814814814814,1,Midfielder
Shkodran Mustafi,49.63333333333333,40.2,79.65366666666667,0.8,0.0666666666666666,0.4666666666666667,11.933333333333334,2.7333333333333334,4.766666666666667,4.933333333333334,2.3333333333333335,0.7333333333333333,1.4,1,Midfielder
Sidnei Rechel da Silva Júnior,38.54545454545455,29.87878787878788,76.90454545454546,0.1818181818181818,0.0,0.696969696969697,6.696969696969697,2.5757575757575757,5.0606060606060606,3.242424242424242,1.181818181818182,0.696969696969697,0.4545454545454545,4,Utility
Simone Verdi,9.333333333333334,7.333333333333333,81.91333333333334,0.6666666666666666,0.0,1.2222222222222223,10.22222222222222,0.4444444444444444,1.7777777777777777,0.7777777777777778,1.3333333333333333,1.1111111111111112,1.6666666666666667,0,Defender
Simão Mate,33.266666666666666,25.4,75.216,0.4333333333333333,0.0333333333333333,0.4666666666666667,11.233333333333333,1.9666666666666663,4.3,3.2333333333333334,1.6,1.2666666666666666,1.9333333333333331,4,Utility
Sofiane Feghouli,27.285714285714285,17.095238095238095,60.233333333333334,1.1428571428571428,0.0476190476190476,1.9523809523809523,8.761904761904763,0.5238095238095238,3.2857142857142856,1.9523809523809523,1.380952380952381,1.1428571428571428,0.9523809523809524,0,Defender
Stefan Savić,32.75,25.5,80.74,0.1666666666666666,0.0,0.0833333333333333,6.5,1.6666666666666667,2.3333333333333335,3.3333333333333335,0.8333333333333334,0.4166666666666667,0.5,4,Utility
Stefan Šćepović,14.470588235294118,10.029411764705882,69.07529411764706,0.8823529411764706,0.1764705882352941,0.5588235294117647,6.029411764705882,0.2352941176470588,0.9411764705882352,3.2058823529411766,0.6764705882352942,1.2647058823529411,0.5,0,Defender
Steven N''Kemboanza Mike Christopher Nzonzi,34.607142857142854,27.142857142857142,75.18892857142858,0.6785714285714286,0.1071428571428571,0.6071428571428571,12.107142857142858,0.7857142857142857,2.857142857142857,2.7142857142857144,1.6428571428571428,0.6071428571428571,1.3214285714285714,4,Utility
Stipe Pletikosa,30.5,15.5,49.725,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3,Goalkeeper
Sérgio Paulo Barbosa Valente,27.03703703703704,16.51851851851852,59.37259259259259,0.8518518518518519,0.037037037037037,1.7037037037037035,6.592592592592593,0.9629629629629628,2.7037037037037037,1.8888888888888888,0.8518518518518519,1.7777777777777777,0.7407407407407407,0,Defender
Takashi Inui,20.925925925925927,14.333333333333334,65.38888888888889,1.3333333333333333,0.1111111111111111,1.6666666666666667,12.22222222222222,0.7407407407407407,2.3703703703703702,2.4814814814814814,0.6666666666666666,0.8148148148148148,0.8888888888888888,0,Defender
Thievy Guivane Bifouma Koulossa,10.0,7.428571428571429,74.95285714285714,0.2857142857142857,0.0,1.8571428571428572,3.5714285714285716,0.0,1.4285714285714286,1.8571428571428572,0.5714285714285714,0.7142857142857143,0.7142857142857143,0,Defender
Thomas Teye Partey,16.615384615384617,12.76923076923077,79.48923076923077,0.7692307692307693,0.1538461538461538,1.2307692307692308,8.384615384615385,0.2307692307692307,2.230769230769231,2.4615384615384617,0.8461538461538461,0.4615384615384615,0.9230769230769232,0,Defender
Thomas Vermaelen,34.7,31.8,90.946,0.3,0.1,0.0,3.1,0.5,1.9,1.6,0.8,0.7,0.4,4,Utility
Théo Bongonda Mbul''Ofeko Batombo,15.227272727272728,11.045454545454543,71.37818181818182,0.8636363636363636,0.0909090909090909,2.5454545454545454,6.454545454545454,0.3636363636363636,2.590909090909091,1.7272727272727273,0.9545454545454546,1.6363636363636365,1.0454545454545454,0,Defender
Tiago Cardoso Mendes,55.357142857142854,46.714285714285715,86.20142857142856,0.5,0.0714285714285714,0.0714285714285714,13.428571428571429,1.8571428571428572,4.357142857142857,3.7857142857142856,1.2857142857142858,1.3571428571428572,1.5,1,Midfielder
Tiago Manuel Dias Correia,24.764705882352946,15.441176470588236,62.28058823529412,2.3529411764705883,0.088235294117647,3.264705882352941,9.411764705882351,0.7352941176470589,4.0588235294117645,2.676470588235294,1.5588235294117647,0.7352941176470589,1.088235294117647,2,Attacker
Timothée Kolodziejczak,43.51724137931034,35.62068965517241,81.11241379310346,0.2413793103448276,0.0,0.2758620689655172,6.827586206896552,1.5862068965517242,3.3793103448275863,2.586206896551724,0.9655172413793104,0.3448275862068966,1.103448275862069,4,Utility
Tomás Pina Isla,28.185185185185187,22.14814814814815,76.43962962962962,0.2592592592592592,0.0,0.2222222222222222,11.555555555555555,1.2222222222222223,4.074074074074074,3.259259259259259,1.2962962962962965,1.1851851851851851,1.8148148148148149,4,Utility
Toni Kroos,79.75,72.8125,91.135625,0.625,0.03125,0.875,21.0,1.65625,4.90625,2.53125,1.25,1.8125,1.21875,1,Midfielder
Uche Henry Agbo,17.5,14.666666666666666,85.75,0.0,0.0,0.1666666666666666,9.5,1.6666666666666667,2.5,2.1666666666666665,1.5,0.6666666666666666,2.0,4,Utility
Vicente Guaita Panadero,30.342105263157897,16.026315789473685,53.30657894736842,0.0,0.0,0.0263157894736842,0.0526315789473684,0.0,4.578947368421052,0.0,0.0263157894736842,0.1052631578947368,0.0,3,Goalkeeper
Vicente Iborra De La Fuente,22.41379310344828,15.241379310344827,59.74413793103448,1.103448275862069,0.2413793103448276,0.3793103448275862,9.379310344827584,0.6206896551724138,1.793103448275862,4.068965517241379,1.4482758620689655,0.9655172413793104,1.7241379310344829,0,Defender
Vincenzo Renato Rennella,9.833333333333334,5.833333333333333,63.26500000000001,0.8333333333333334,0.1666666666666666,1.0,5.333333333333333,0.0,3.6666666666666665,4.166666666666667,0.3333333333333333,0.8333333333333334,1.3333333333333333,0,Defender
Víctor Camarasa Ferrando,32.294117647058826,26.970588235294116,80.08441176470588,0.8235294117647058,0.0588235294117647,1.411764705882353,13.588235294117649,0.9411764705882352,4.117647058823529,2.911764705882353,0.8823529411764706,0.9411764705882352,1.2647058823529411,4,Utility
Víctor Casadesús Castaño,16.82608695652174,11.391304347826088,71.54347826086956,0.5217391304347826,0.1304347826086956,0.8260869565217391,5.565217391304348,0.3478260869565217,1.8695652173913044,3.1739130434782608,0.5652173913043478,0.6956521739130435,1.0434782608695652,0,Defender
Víctor Guillermo Álvarez Delgado,28.03703703703704,18.88888888888889,61.53777777777778,0.4814814814814814,0.037037037037037,2.0,12.592592592592592,1.4074074074074074,3.2222222222222223,3.2222222222222223,1.851851851851852,1.2592592592592593,1.4444444444444444,4,Utility
Víctor Machín Pérez,29.142857142857142,21.142857142857142,69.17035714285714,0.8571428571428571,0.0714285714285714,2.9285714285714284,17.642857142857142,0.7142857142857143,4.535714285714286,3.642857142857143,1.8214285714285712,2.5,2.142857142857143,2,Attacker
Víctor Rodríguez Romero,31.575757575757574,26.151515151515152,81.55454545454546,1.3636363636363635,0.0606060606060606,2.0303030303030303,16.636363636363637,1.0303030303030305,4.393939393939394,2.5454545454545454,1.2121212121212122,1.303030303030303,0.7575757575757576,2,Attacker
Víctor Ruíz Torre,44.857142857142854,35.885714285714286,79.02114285714286,0.1428571428571428,0.0,0.2,4.9714285714285715,2.4,3.914285714285714,2.4857142857142858,1.6857142857142855,0.4285714285714285,1.0571428571428572,4,Utility
Víctor Sánchez Mata,35.6551724137931,27.17241379310345,75.96931034482759,0.8275862068965517,0.0344827586206896,1.1724137931034482,24.620689655172413,1.5862068965517242,4.310344827586207,5.379310344827586,1.6206896551724137,1.5517241379310345,2.586206896551724,1,Midfielder
Wanderson Maciel Sousa Campos,13.1,9.65,75.0065,1.2,0.0,2.35,9.55,0.5,2.75,1.65,1.0,1.1,1.1,0,Defender
Weligton Róbson Pena de Oliveira,39.7,28.733333333333334,70.80666666666666,0.1333333333333333,0.0,0.1333333333333333,8.6,2.1333333333333333,4.466666666666667,3.1333333333333333,1.8,0.8666666666666667,1.1666666666666667,4,Utility
Wilfried Aimeric Zahibo,31.0,22.5,73.18,0.0,0.0,0.5,12.0,0.5,6.5,4.0,2.0,0.5,3.0,1,Midfielder
Willian José da Silva,18.333333333333332,13.533333333333331,73.682,1.8,0.3,1.3,8.7,0.1,1.6,3.2666666666666666,0.5,1.2,1.0,2,Attacker
Xabier Etxeita Gorritxategi,39.766666666666666,31.466666666666665,74.56733333333334,0.3333333333333333,0.0,0.2,8.8,2.0,2.6333333333333333,3.066666666666667,1.9333333333333331,0.2333333333333333,0.9666666666666668,4,Utility
Xabier Iruretagoiena Aranzamendi,28.0,13.25,48.4625,0.0,0.0,0.0,0.5,0.0,5.5,0.0,0.0,0.0,0.0,3,Goalkeeper
Xabier Prieto Argarate,35.666666666666664,26.916666666666668,75.5375,0.5,0.0833333333333333,1.1111111111111112,10.333333333333334,0.3888888888888889,3.111111111111111,3.7222222222222223,1.0833333333333333,1.8333333333333333,0.4722222222222222,4,Utility
Xavier Torres Buigues,26.333333333333332,20.333333333333332,76.89583333333333,0.6666666666666666,0.0,0.1666666666666666,9.25,0.8333333333333334,3.0,2.0,1.0833333333333333,1.0,1.5,4,Utility
Yannick Ferreira Carrasco,28.0,21.275862068965516,77.4548275862069,1.862068965517241,0.1379310344827586,4.0,10.0,0.8620689655172413,4.620689655172414,2.206896551724138,1.6206896551724137,1.103448275862069,1.2413793103448276,2,Attacker
Yevhen Konoplyanka,22.65625,15.09375,65.2415625,1.59375,0.125,2.34375,6.125,0.71875,2.34375,1.28125,0.6875,0.9375,0.6875,0,Defender
